Rank,Title,Type,Episodes,Start_Year,Score,Members
394,Sennen Joyuu,Movie,1.0,2002,8.25,214723
395,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",TV,25.0,2024,8.25,285911
396,Shoujo Kakumei Utena,TV,39.0,1997,8.25,253436
397,Shoujo Shuumatsu Ryokou,TV,12.0,2017,8.25,413015
398,Tonari no Totoro,Movie,1.0,1988,8.25,1178773
399,Wu Liuqi: Anying Suming,ONA,10.0,2023,8.25,42527
400,BanG Dream! It's MyGO!!!!!,TV,13.0,2023,8.24,44614
401,Golden Kamuy 2nd Season,TV,12.0,2018,8.24,243901
402,Gyakkyou Burai Kaiji: Hakairoku-hen,TV,26.0,2011,8.24,216573
403,Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV,12.0,2023,8.24,556523
404,Kamisama Hajimemashita◎,TV,12.0,2015,8.24,479046
405,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10.0,2017,8.24,1675043
406,Majo no Takkyuubin,Movie,1.0,1989,8.24,675191
407,Non Non Biyori Movie: Vacation,Movie,1.0,2018,8.24,87613
408,Planetes,TV,26.0,2003,8.24,285255
409,Shinsekai yori,TV,25.0,2012,8.24,829113
410,Stranger: Mukou Hadan,Movie,1.0,2007,8.24,357696
411,World Trigger 3rd Season,TV,14.0,2021,8.24,144017
412,IDOLiSH7 Third Beat!,TV,13.0,2021,8.23,27294
413,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,TV,25.0,2016,8.23,163362
414,Kono Sekai no Katasumi ni,Movie,1.0,2016,8.23,211929
415,Liz to Aoi Tori,Movie,1.0,2018,8.23,166299
416,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie,1.0,2012,8.23,220061
417,Mimi wo Sumaseba,Movie,1.0,1995,8.23,413268
418,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13.0,2018,8.23,1993307
419,Suzume no Tojimari,Movie,1.0,2022,8.23,522741
420,Bakemono no Ko,Movie,1.0,2015,8.22,460265
421,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie,1.0,2000,8.22,124992
422,Danshi Koukousei no Nichijou,TV,12.0,2012,8.22,895505
423,Jujutsu Kaisen: Kaigyoku/Gyokusetsu,Movie,1.0,2025,8.22,67668
424,Kaguya-hime no Monogatari,Movie,1.0,2013,8.22,265638
425,Maison Ikkoku,TV,96.0,1986,8.22,84561
426,Major S3,TV,26.0,2007,8.22,74864
427,Nodame Cantabile Finale,TV,11.0,2010,8.22,134106
428,Stand By Me Doraemon 2,Movie,1.0,2020,8.22,43201
429,Trigun,TV,26.0,1998,8.22,844689
430,Youjo Senki Movie,Movie,1.0,2019,8.22,346745
431,Berserk: Ougon Jidai-hen III - Kourin,Movie,1.0,2013,8.21,249796
432,Boku no Hero Academia 6th Season,TV,25.0,2022,8.21,848482
433,Dragon Ball Super: Broly,Movie,1.0,2018,8.21,478903
434,Dragon Ball Z,TV,291.0,1989,8.21,1340769
435,Gachiakuta,TV,24.0,2025,8.21,548828
436,Haikyuu!! Movie 3: Sainou to Sense,Movie,1.0,2017,8.21,112149
437,Kage no Jitsuryokusha ni Naritakute!,TV,20.0,2022,8.21,895445
438,Major S1,TV,26.0,2004,8.21,108937
439,Ookami to Koushinryou,TV,13.0,2008,8.21,879001
440,ReLIFE: Kanketsu-hen,Special,4.0,2018,8.21,454801
441,Saiki Kusuo no Ψ-nan: Kanketsu-hen,TV,1.0,2018,8.21,254169
442,Spy x Family Season 3,TV,13.0,2025,8.21,375652
443,Fruits Basket 1st Season,TV,25.0,2019,8.2,963231
444,Futsutsuka na Akujo dewa Gozaimasu ga: Suuguu Chouso Torikae Den,TV,11.0,2026,8.2,76029
445,Girls & Panzer Movie,Movie,1.0,2015,8.2,132732
446,Initial D Second Stage,TV,13.0,1999,8.2,267839
447,InuYasha: Kanketsu-hen,TV,26.0,2009,8.2,309435
448,Kuroko no Basket 2nd Season,TV,25.0,2013,8.2,938834
449,Magi: The Kingdom of Magic,TV,25.0,2013,8.2,906285
450,Meitantei Conan Movie 13: Shikkoku no Chaser,Movie,1.0,2009,8.2,65759
451,Senki Zesshou Symphogear XV,TV,13.0,2019,8.2,44529
452,SKET Dance,TV,77.0,2011,8.2,240695
453,Tengoku Daimakyou,TV,13.0,2023,8.2,648475
454,Wu Liuqi: Zui Qiang Fa Xing Shi,ONA,10.0,2019,8.2,100746
455,xxxHOLiC◆Kei,TV,13.0,2008,8.2,157212
456,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13.0,2015,8.2,1178186
457,Asobi Asobase,TV,12.0,2018,8.19,543626
458,Boku no Kokoro no Yabai Yatsu,TV,12.0,2023,8.19,461106
459,Bungou Stray Dogs 3rd Season,TV,12.0,2019,8.19,719171
460,Cang Yuan Tu 2,ONA,36.0,2024,8.19,2710
461,Cardcaptor Sakura,TV,70.0,1998,8.19,491601
462,Fangkai Nage Nuwu,ONA,8.0,2026,8.19,36660
463,Girls & Panzer: Saishuushou Part 3,Movie,1.0,2021,8.19,49270
464,Great Pretender,TV,23.0,2020,8.19,759345
465,Hunter x Hunter: Greed Island,OVA,8.0,2003,8.19,184253
466,K-On!!,TV,26.0,2010,8.19,763803
467,Kaijuu 8-gou,TV,12.0,2024,8.19,758677
468,Kobayashi-san Chi no Maid Dragon S,TV,12.0,2021,8.19,620331
469,Made in Abyss Movie 1: Tabidachi no Yoake,Movie,1.0,2019,8.19,166212
470,Meitantei Conan Movie 20: Junkoku no Nightmare,Movie,1.0,2016,8.19,47736
471,Mushoku Tensei II: Isekai Ittara Honki Dasu,TV,12.0,2023,8.19,793543
472,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,TV,1.0,2013,8.19,81682
473,Spy x Family Part 2,TV,13.0,2022,8.19,1160398
474,Vanitas no Karte Part 2,TV,12.0,2022,8.19,353104
475,Yi Nian Yong Heng 2nd Season,ONA,54.0,2022,8.19,9909
476,Yojouhan Time Machine Blues,ONA,6.0,2022,8.19,66557
477,Ballroom e Youkoso,TV,24.0,2017,8.18,366577
478,Black Lagoon: The Second Barrage,TV,12.0,2006,8.18,581827
479,Digimon Adventure: Last Evolution Kizuna,Movie,1.0,2020,8.18,63834
480,Fate/stay night: Unlimited Blade Works,TV,12.0,2014,8.18,1189769
481,Ganbare! Nakamura-kun!!,TV,13.0,2026,8.18,67377
482,Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,Movie,4.0,2019,8.18,41826
483,Hachimitsu to Clover II,TV,12.0,2006,8.18,125193
484,Horimiya,TV,13.0,2021,8.18,1683644
485,Initial D Fourth Stage,TV,24.0,2004,8.18,218519
486,Major S2,TV,26.0,2005,8.18,77113
487,Major S4,TV,26.0,2008,8.18,70089
488,Meitantei Conan,TV,,1996,8.18,381585
489,Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,Movie,1.0,2021,8.18,54247
490,Nomad: Megalo Box 2,TV,13.0,2021,8.18,232679
491,Non Non Biyori Repeat,TV,12.0,2015,8.18,215425
492,Sasaki to Miyano,TV,12.0,2022,8.18,244033
493,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Movie,1.0,2008,8.18,195012
494,Tensei shitara Slime Datta Ken 4th Season,TV,24.0,2026,8.18,249382
495,Tsue to Tsurugi no Wistoria Season 2,TV,12.0,2026,8.18,222722
496,xxxHOLiC Rou,OVA,2.0,2010,8.18,86931
497,Yoru wa Mijikashi Arukeyo Otome,Movie,1.0,2017,8.18,143827
498,Yubisaki to Renren,TV,12.0,2024,8.18,362164
499,Aria the Natural,TV,26.0,2006,8.17,86977
500,Bakuman.,TV,25.0,2010,8.17,662862
501,Chihayafuru,TV,25.0,2011,8.17,501099
502,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA,1.0,2016,8.17,75031
503,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,TV,13.0,2019,8.17,28968
504,Kuroshitsuji: Midori no Majo-hen,TV,13.0,2025,8.17,78122
505,Little Busters! Refrain,TV,13.0,2013,8.17,177981
506,One Piece Movie 14: Stampede,Movie,1.0,2019,8.17,225427
507,Quanzhi Gaoshou Specials,ONA,3.0,2018,8.17,113408
508,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,TV,13.0,2025,8.17,230702
509,Tamayura: Sotsugyou Shashin Part 4 - Ashita,Movie,1.0,2016,8.17,13953
510,Yuukoku no Moriarty,TV,11.0,2020,8.17,517754
511,Akira,Movie,1.0,1988,8.16,970153
512,Bungou Stray Dogs 2nd Season,TV,12.0,2016,8.16,964229
513,Higurashi no Naku Koro ni Kai,TV,24.0,2007,8.16,524932
514,Lupin III: Cagliostro no Shiro,Movie,1.0,1979,8.16,139926
515,No Game No Life: Zero,Movie,1.0,2017,8.16,959634
516,Ouran Koukou Host Club,TV,26.0,2006,8.16,1245954
517,Sono Bisque Doll wa Koi wo Suru Season 2,TV,12.0,2025,8.16,508584
518,Yuusha-Ou GaoGaiGar Final,OVA,8.0,2000,8.16,13071
519,Ao Ashi,TV,24.0,2022,8.15,265664
520,Ao no Hako,TV,25.0,2024,8.15,355437
521,Dr. Stone: Stone Wars,TV,11.0,2021,8.15,1226351
522,Jigokuraku 2nd Season,TV,12.0,2026,8.15,418717
523,Princess Tutu,TV,38.0,2002,8.15,187834
524,The Fable,TV,25.0,2024,8.15,114847
525,Black Clover,TV,170.0,2017,8.14,1938294
526,Boku no Hero Academia 7th Season,TV,21.0,2024,8.14,507785
527,Cang Yuan Tu,ONA,26.0,2023,8.14,5833
528,Dr. Stone: New World,TV,11.0,2023,8.14,626741
529,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1.0,2017,8.14,525068
530,Fate/strange Fake: Whispers of Dawn,TV,1.0,2023,8.14,128632
531,Golden Kamuy 4th Season,TV,13.0,2022,8.14,126608
532,Kaiba,TV,12.0,2008,8.14,184274
533,Kaze Tachinu,Movie,1.0,2013,8.14,394143
534,Kimetsu no Yaiba: Katanakaji no Sato-hen,TV,11.0,2023,8.14,1148186
535,Kotarou wa Hitorigurashi,ONA,10.0,2022,8.14,211994
536,Lupin III: Part 5,TV,24.0,2018,8.14,49530
537,Lycoris Recoil,TV,13.0,2022,8.14,608632
538,Major: Message,OVA,1.0,2010,8.14,44462
539,Non Non Biyori Nonstop: Bukatsu wo Ganbatta,OVA,1.0,2022,8.14,39908
540,Noragami Aragoto,TV,13.0,2015,8.14,1568646
541,Stand By Me Doraemon,Movie,1.0,2014,8.14,64895
542,Toaru Kagaku no Railgun T,TV,25.0,2020,8.14,269330
543,Death Parade,TV,12.0,2015,8.13,1938571
544,Eiga Daisuki Pompo-san,Movie,1.0,2021,8.13,71436
545,Eizouken ni wa Te wo Dasu na!,TV,12.0,2020,8.13,374491
546,Ginga Eiyuu Densetsu Gaiden,OVA,24.0,1998,8.13,27519
547,Given: Uragawa no Sonzai,OVA,1.0,2021,8.13,104696
548,Haikyuu!! Movie 1: Owari to Hajimari,Movie,1.0,2015,8.13,128340
549,Hidamari Sketch: Sae Hiro Sotsugyou-hen,OVA,2.0,2013,8.13,17083
550,Holo no Graffiti,ONA,,2019,8.13,58658
551,IDOLiSH7 Second Beat!,TV,15.0,2020,8.13,36676
552,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Movie,1.0,2003,8.13,83821
553,"Kamiina Botan, Yoeru Sugata wa Yuri no Hana",TV,12.0,2026,8.13,62256
554,Kamisama Hajimemashita,TV,13.0,2012,8.13,740661
555,Kono Subarashii Sekai ni Shukufuku wo! 3: Bonus Stage,OVA,2.0,2025,8.13,88374
556,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,Movie,1.0,2015,8.13,295723
557,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Movie,1.0,2012,8.13,27548
558,Nodame Cantabile: Paris-hen,TV,11.0,2008,8.13,131278
559,Ookami to Koushinryou: Merchant Meets the Wise Wolf,TV,25.0,2024,8.13,269811
560,Ore dake Level Up na Ken,TV,12.0,2024,8.13,1187683
561,Working!!! Lord of the Takanashi,Special,1.0,2016,8.13,109430
562,Diamond no Ace,TV,75.0,2013,8.12,270401
563,Fullmetal Alchemist,TV,51.0,2003,8.12,1571621
564,Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru,Special,1.0,2015,8.12,46163
565,Haikyuu!! Movie 2: Shousha to Haisha,Movie,1.0,2015,8.12,114792
566,Horimiya: Piece,TV,13.0,2023,8.12,480215
567,Initial D Fifth Stage,TV,14.0,2012,8.12,175622
568,Katekyou Hitman Reborn!,TV,203.0,2006,8.12,591113
569,Meitantei Conan Movie 05: Tengoku e no Countdown,Movie,1.0,2001,8.12,70965
570,Mo Dao Zu Shi Q,ONA,30.0,2020,8.12,28322
571,Nisemonogatari,TV,11.0,2012,8.12,781389
572,Precure All Stars Movie F,Movie,1.0,2023,8.12,4925
573,Seirei no Moribito,TV,26.0,2007,8.12,238185
574,Shinigami Bocchan to Kuro Maid 3rd Season,TV,12.0,2024,8.12,74195
575,Sono Bisque Doll wa Koi wo Suru,TV,12.0,2022,8.12,1369429
576,Tensei shitara Slime Datta Ken,TV,24.0,2018,8.12,1679692
577,Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,TV,12.0,2026,8.12,353054
578,Akatsuki no Yona OVA,OVA,3.0,2015,8.11,147814
579,Dr. Stone: Ryuusui,TV,1.0,2022,8.11,403542
580,Fumetsu no Anata e Season 2,TV,20.0,2022,8.11,348498
581,Gankutsuou,TV,24.0,2004,8.11,274088
582,Given Movie 1,Movie,1.0,2020,8.11,268192
583,Hinamatsuri,TV,12.0,2018,8.11,560444
584,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV,24.0,2014,8.11,1397380
585,Kuragehime,TV,11.0,2010,8.11,268227
586,Meitantei Conan Movie 14: Tenkuu no Lost Ship,Movie,1.0,2010,8.11,63545
587,Mirai Shounen Conan,TV,26.0,1978,8.11,58703
588,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,ONA,6.0,2019,8.11,254292
589,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,13.0,2011,8.11,81792
590,Shokugeki no Souma,TV,24.0,2015,8.11,1762580
591,Silent Witch: Chinmoku no Majo no Kakushigoto,TV,13.0,2025,8.11,238361
592,Tsurune: Tsunagari no Issha,TV,13.0,2023,8.11,70196
593,Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,1.0,2018,8.1,307928
594,Enen no Shouboutai: San no Shou Part 2,TV,13.0,2026,8.1,218965
595,Girls & Panzer: Saishuushou Part 2,Movie,1.0,2019,8.1,47163
596,Kidou Senshi Gundam 00,TV,25.0,2007,8.1,236599
597,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,TV,1.0,2006,8.1,109466
598,One Piece Film: Z,Movie,1.0,2012,8.1,320233
599,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,TV,1.0,2012,8.1,77116
600,Serial Experiments Lain,TV,13.0,1998,8.1,921369
601,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",TV,25.0,2023,8.1,490075
602,Shen Yin Wangzuo,ONA,26.0,2022,8.1,11487
603,Skip to Loafer,TV,12.0,2023,8.1,354573
604,Spy x Family Movie: Code: White,Movie,1.0,2023,8.1,262105
605,Yuanshen: Jinzhong Ge,ONA,1.0,2024,8.1,7537
606,Zhan Shen: Fanchen Shenyu,ONA,15.0,2024,8.1,7119
607,Blue Lock,TV,24.0,2022,8.09,927626
608,Boku no Hero Academia: More,TV,1.0,2026,8.09,75268
609,Buddy Daddies,TV,12.0,2023,8.09,366860
610,Gin no Saji,TV,11.0,2013,8.09,316743
611,Gintama°: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Special,1.0,2015,8.09,37878
612,Hajime no Ippo: Boxer no Kobushi,Special,1.0,2003,8.09,64033
613,Kamisama Hajimemashita OVA,OVA,2.0,2013,8.09,151415
614,Kidou Senshi Gundam Unicorn,OVA,7.0,2010,8.09,108787
615,Kuroko no Basket: Saikou no Present desu,Special,1.0,2015,8.09,119491
616,Mahoutsukai no Yome: Hoshi Matsu Hito,OVA,3.0,2016,8.09,300925
617,Mairimashita! Iruma-kun 4th Season,TV,24.0,2026,8.09,91626
618,Toki wo Kakeru Shoujo,Movie,1.0,2006,8.09,846614
619,Azumanga Daiou The Animation,TV,26.0,2002,8.08,437333
620,BanG Dream! Ave Mujica,TV,13.0,2025,8.08,39123
621,City Hunter 2,TV,63.0,1988,8.08,31942
622,City The Animation,TV,13.0,2025,8.08,93504
623,Detroit Metal City,OVA,12.0,2008,8.08,226397
624,Durarara!!,TV,24.0,2010,8.08,1504419
625,Guangyin Zhi Wai 2,ONA,52.0,2026,8.08,1130
626,Hikaru no Go,TV,75.0,2001,8.08,151516
627,Jigokuraku,TV,13.0,2023,8.08,989576
628,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 3rd Season,TV,12.0,2026,8.08,76827
629,Kimi wa Houkago Insomnia,TV,13.0,2023,8.08,285612
630,Kono Subarashii Sekai ni Shukufuku wo!,TV,10.0,2016,8.08,2180790
631,Kuroko no Basket Movie 4: Last Game,Movie,1.0,2017,8.08,354910
632,Kyou kara Ore wa!!,OVA,10.0,1993,8.08,41019
633,Paripi Koumei,TV,12.0,2022,8.08,334326
634,Persona 3 the Movie 4: Winter of Rebirth,Movie,1.0,2016,8.08,87318
635,Tsubasa: Shunraiki,OVA,2.0,2009,8.08,65804
636,Tsukimonogatari,TV,4.0,2014,8.08,448514
637,Tu Bian Yingxiong X Concept Movie,Movie,1.0,2022,8.08,3749
638,Uchouten Kazoku 2,TV,12.0,2017,8.08,69829
639,Zankyou no Terror,TV,11.0,2014,8.08,1299325
640,Ansatsu Kyoushitsu,TV,22.0,2015,8.07,2245834
641,Baccano! Specials,Special,3.0,2008,8.07,188096
642,Ginga Eiyuu Densetsu: Arata naru Tatakai no Overture,Movie,1.0,1993,8.07,40983
643,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,Movie,4.0,2019,8.07,34515
644,Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,Special,1.0,2005,8.07,61565
645,Given Movie 2: Hiiragi Mix,Movie,1.0,2024,8.07,52932
646,Jibaku Shounen Hanako-kun 2 Part 2,TV,12.0,2025,8.07,61724
647,Kanata no Astra,TV,12.0,2019,8.07,351669
648,Kidou Senshi Gundam 00 Second Season,TV,25.0,2008,8.07,162989
649,Kidou Senshi Gundam: Tekketsu no Orphans,TV,25.0,2015,8.07,277550
650,Kodomo no Omocha (TV),TV,102.0,1996,8.07,80103
651,Make Heroine ga Oosugiru!,TV,12.0,2024,8.07,350424
652,Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA,13.0,2002,8.07,63865
653,Skip Beat!,TV,25.0,2008,8.07,289478
654,Tunshi Xingkong,ONA,26.0,2020,8.07,13355
655,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,TV,12.0,2020,8.06,264422
656,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV,10.0,2022,8.06,205011
657,Kidou Keisatsu Patlabor 2 the Movie,Movie,1.0,1993,8.06,47697
658,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,OVA,1.0,2005,8.06,45073
659,Kuroshitsuji: Book of Circus,TV,10.0,2014,8.06,447789
660,Meitantei Conan Movie 08: Ginyoku no Magician,Movie,1.0,2004,8.06,63269
661,Meitantei Conan Movie 18: Ijigen no Sniper,Movie,1.0,2014,8.06,49494
662,NieR:Automata Ver1.1a Part 2,TV,12.0,2024,8.06,114934
663,Overlord IV,TV,13.0,2022,8.06,649716
664,Shoushimin Series 2nd Season,TV,12.0,2025,8.06,58893
665,Angel Beats!,TV,13.0,2010,8.05,2221105
666,Dorohedoro,TV,12.0,2020,8.05,661781
667,Durarara!!x2 Ketsu,TV,12.0,2016,8.05,405720
668,Ginga Eiyuu Densetsu Gaiden (1999),OVA,28.0,1999,8.05,23164
669,Gintama: Dai Hanseikai,Special,1.0,2010,8.05,42302
670,Glass no Kamen (2005),TV,51.0,2005,8.05,45460
671,JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA,12.0,2021,8.05,633437
672,Karasu wa Aruji wo Erabanai,TV,20.0,2024,8.05,64203
673,Koukyoushihen Eureka Seven,TV,50.0,2005,8.05,464060
674,Mahoutsukai no Yome,TV,24.0,2017,8.05,1030200
675,Meitantei Conan Movie 25: Halloween no Hanayome,Movie,1.0,2022,8.05,21391
676,Paprika,Movie,1.0,2006,8.05,625326
677,Shokugeki no Souma: Ni no Sara,TV,13.0,2016,8.05,1216499
678,Spy x Family Season 2,TV,12.0,2023,8.05,703643
679,Yowamushi Pedal: Grande Road,TV,24.0,2014,8.05,151873
680,Akatsuki no Yona,TV,24.0,2014,8.04,950257
681,Black Lagoon,TV,12.0,2006,8.04,1126858
682,Boku no Hero Academia 2nd Season,TV,25.0,2017,8.04,2764873
683,Darker than Black: Kuro no Keiyakusha,TV,25.0,2007,8.04,1015735
684,FLCL,OVA,6.0,2000,8.04,908196
685,Golden Boy,OVA,6.0,1995,8.04,468454
686,Gosick,TV,24.0,2011,8.04,613108
687,Gridman Universe,Movie,1.0,2023,8.04,42941
688,Hanada Shounen-shi,TV,25.0,2002,8.04,19042
689,Hyouka,TV,22.0,2012,8.04,1495029
690,Kuroko no Basket,TV,25.0,2012,8.04,1329159
691,Kuroshitsuji: Book of Murder,OVA,2.0,2015,8.04,275522
692,Meitantei Conan Movie 03: Seikimatsu no Majutsushi,Movie,1.0,1999,8.04,73298
693,Omoide no Marnie,Movie,1.0,2014,8.04,339179
694,Quanzhi Gaoshou: Dianfeng Rongyao,Movie,1.0,2019,8.04,57482
695,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,Movie,1.0,2015,8.04,160835
696,World Trigger 2nd Season,TV,12.0,2021,8.04,178739
697,Yuru Camp△ Season 3,TV,12.0,2024,8.04,106349
698,Black Lagoon: Roberta's Blood Trail,OVA,5.0,2010,8.03,335878
699,Diamond no Ace: Act II Second Season,TV,13.0,2026,8.03,23471
700,Douluo Dalu II: Jueshi Tangmen,ONA,182.0,2023,8.03,7582
701,Fate/stay night: Unlimited Blade Works Prologue,TV,1.0,2014,8.03,353256
702,Fujimoto Tatsuki 17-26,ONA,8.0,2025,8.03,99062
703,Ginga Nagareboshi Gin,TV,21.0,1986,8.03,30406
704,Hibike! Euphonium,TV,13.0,2015,8.03,518084
705,Hyouge Mono,TV,39.0,2011,8.03,32504
706,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,ONA,12.0,2022,8.03,373823
707,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,OVA,6.0,1989,8.03,71860
708,Kill la Kill,TV,24.0,2013,8.03,1867303
709,Lovely★Complex,TV,24.0,2007,8.03,667219
710,Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,Movie,1.0,2000,8.03,69727
711,Meitantei Conan Movie 10: Tantei-tachi no Requiem,Movie,1.0,2006,8.03,62903
712,Mononoke Movie 1: Karakasa,Movie,1.0,2024,8.03,53874
713,No Game No Life,TV,12.0,2014,8.03,2580955
714,Omae Umasou da na,Movie,1.0,2010,8.03,23180
715,One Piece Film: Strong World,Movie,1.0,2009,8.03,282004
716,Ore dake Level Up na Ken: ReAwakening,Movie,1.0,2024,8.03,54052
717,Sakura-sou no Pet na Kanojo,TV,24.0,2012,8.03,1336097
718,Shadows House 2nd Season,TV,12.0,2022,8.03,143007
719,Shijou Saikyou no Deshi Kenichi,TV,50.0,2006,8.03,327161
720,Toradora!,TV,25.0,2008,8.03,2392139
721,xxxHOLiC Shunmuki,OVA,2.0,2009,8.03,76841
722,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,TV,13.0,2022,8.03,828425
723,BanG Dream! Movie: Episode of Roselia - II: Song I Am.,Movie,1.0,2021,8.02,13059
724,Dennou Coil,TV,26.0,2007,8.02,161438
725,Full Metal Panic? Fumoffu,TV,12.0,2003,8.02,314288
726,Hikaru ga Shinda Natsu,TV,12.0,2025,8.02,326729
727,Mairimashita! Iruma-kun 2nd Season,TV,21.0,2021,8.02,383633
728,Naruto,TV,220.0,2002,8.02,3157778
729,Pui Pui Molcar,TV,12.0,2021,8.02,19796
730,Slayers Next,TV,26.0,1996,8.02,76594
731,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1.0,2016,8.02,278090
732,Apocalypse Hotel,TV,12.0,2025,8.01,82950
733,Fanren Xiu Xian Zhuan 2nd Season,ONA,51.0,2021,8.01,5652
734,Haibane Renmei,TV,13.0,2002,8.01,346192
735,Juuni Kokuki,TV,45.0,2002,8.01,176659
736,Karakai Jouzu no Takagi-san 2,TV,12.0,2019,8.01,365724
737,Kimi ni Todoke,TV,25.0,2009,8.01,1090086
738,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,OVA,1.0,2017,8.01,413013
739,Touch,TV,101.0,1985,8.01,40416
740,"Toumei na Yoru ni Kakeru Kimi to, Me ni Mienai Koi wo Shita.",TV,12.0,2026,8.01,80449
741,Tsuki ga Kirei,TV,12.0,2017,8.01,604452
742,Wan Sheng Jie 2,ONA,12.0,2020,8.01,15925
743,"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?) (TV Special)",TV,5.0,2026,8.01,38549
744,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,Movie,1.0,2017,8.01,16701
745,5-toubun no Hanayome ∬,TV,12.0,2021,8.0,835522
746,Aria the Benedizione,Movie,1.0,2021,8.0,12253
747,Aria the OVA: Arietta,OVA,1.0,2007,8.0,42509
748,Baby Steps 2nd Season,TV,25.0,2015,8.0,96653
749,BanG Dream! 3rd Season,TV,13.0,2020,8.0,44762
750,Bleach,TV,366.0,2004,8.0,2248561
751,D.Gray-man,TV,103.0,2006,8.0,737160
752,Fullmetal Alchemist: Brotherhood Specials,Special,4.0,2009,8.0,170818
753,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,Movie,1.0,2008,8.0,245181
754,Kidou Senshi Gundam: Dai 08 MS Shoutai,OVA,12.0,1996,8.0,95746
755,Kimetsu no Yaiba: Hashira Geiko-hen,TV,8.0,2024,8.0,810137
756,Magi: The Labyrinth of Magic,TV,25.0,2012,8.0,1133585
757,Meitantei Conan Movie 15: Chinmoku no Quarter,Movie,1.0,2011,8.0,54243
758,"Natsu e no Tunnel, Sayonara no Deguchi",Movie,1.0,2022,8.0,270526
759,Saint Seiya: The Lost Canvas - Meiou Shinwa,OVA,13.0,2009,8.0,117668
760,Summer Wars,Movie,1.0,2009,8.0,555478
761,Toaru Kagaku no Railgun S,TV,24.0,2013,8.0,416922
762,Tokyo Magnitude 8.0,TV,11.0,2009,8.0,316549
763,Tonikaku Kawaii: SNS,OVA,1.0,2021,8.0,184170
764,Tunshi Xingkong Movie: Xueluo Dalu,Movie,1.0,2024,8.0,2361
765,Wan Sheng Jie 3,ONA,12.0,2022,8.0,11047
766,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13.0,2013,8.0,1589901
767,Ao no Exorcist: Yosuga-hen,TV,12.0,2025,7.99,92470
768,Cheng He Titong,ONA,24.0,2024,7.99,17828
769,Clannad,TV,23.0,2007,7.99,1527856
770,Evangelion Movie 1: Jo,Movie,1.0,2007,7.99,626809
