Rank,Title,Type,Episodes,Start_Year,Score,Members
108,Haikyuu!! Second Season,TV,25.0,2015,8.61,1585627
109,Hajime no Ippo: Rising,TV,25.0,2013,8.61,304281
110,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12.0,2020,8.61,1524520
111,Kenpuu Denki Berserk,TV,25.0,1997,8.61,782178
112,Look Back,Movie,1.0,2024,8.61,263830
113,Natsume Yuujinchou Roku,TV,11.0,2017,8.61,207923
114,Bungou Stray Dogs 5th Season,TV,11.0,2023,8.6,268470
115,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1.0,2020,8.6,547612
116,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,TV,12.0,2026,8.59,573219
117,Made in Abyss: Retsujitsu no Ougonkyou,TV,12.0,2022,8.59,551444
118,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12.0,2021,8.59,1157719
119,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1.0,2019,8.59,837830
120,Suzumiya Haruhi no Shoushitsu,Movie,1.0,2010,8.59,656259
121,Dungeon Meshi,TV,24.0,2024,8.58,613181
122,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39.0,2018,8.58,1195723
123,Mushishi Zoku Shou: Suzu no Shizuku,Movie,1.0,2015,8.58,142508
124,Nana,TV,47.0,2006,8.58,799627
125,Shin Evangelion Movie:||,Movie,1.0,2021,8.58,432347
126,Shingeki no Kyojin,TV,25.0,2013,8.58,4424458
127,Natsume Yuujinchou Shichi,TV,12.0,2024,8.57,61061
128,Shiguang Dailiren III,ONA,12.0,2026,8.57,37191
129,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,1.0,1997,8.57,1061280
130,Uma Musume: Cinderella Gray,TV,13.0,2025,8.57,112101
131,Haikyuu!! To the Top Part 2,TV,12.0,2020,8.56,942835
132,Kizumonogatari II: Nekketsu-hen,Movie,1.0,2016,8.56,495855
133,Natsume Yuujinchou Go,TV,11.0,2016,8.56,208045
134,Natsume Yuujinchou San,TV,13.0,2011,8.56,274433
135,Ookami Kodomo no Ame to Yuki,Movie,1.0,2012,8.56,875788
136,Perfect Blue,Movie,1.0,1998,8.56,839561
137,Slam Dunk,TV,101.0,1993,8.56,342949
138,Steins;Gate 0,TV,23.0,2018,8.56,968937
139,Hotaru no Haka,Movie,1.0,1988,8.55,780852
